date;Italy;US;Spain;Germany;India
2020-08-27;263949;5867785;429507;240571;3387500
2020-08-28;265409;5913941;439286;242126;3463972
2020-08-29;266853;5961094;439286;242835;3542733
2020-08-30;268218;5996431;439286;243305;3621245
2020-08-31;269214;6030587;462858;244802;3691166
2020-09-01;270189;6073840;470973;246015;3769523
2020-09-02;271515;6113510;479554;247411;3853406
2020-09-03;272912;6150016;488513;248840;3936747
2020-09-04;274644;6200518;498989;250283;4023179
2020-09-05;276338;6244970;498989;251058;4113811
2020-09-06;277634;6276365;498989;251728;4204613
2020-09-07;278784;6300622;525549;253626;4280422
2020-09-08;280153;6327009;534513;254957;4370128
2020-09-09;281583;6360212;543379;256433;4465863
2020-09-10;283180;6396100;554143;258149;4562414
2020-09-11;284796;6443652;566326;259735;4659984
2020-09-12;286297;6485123;566326;260817;4754356
2020-09-13;287753;6519573;566326;261737;4846427
